كتاب,Kitab,Jami'a,Rasm,Kursi
مدرسة,Madrasa,Khubz,Kitab,Barq
جامعة,Jami'a,Asifa,Ain,Ra's
مكتبة,Maktaba,Laban,Anf,Bayd
مدينة,Madina,Ra's,Rasm,Laymun
طائرة,Ta'ira,Jabal,Dhil,Sama'
سيارة,Sayyara,Mu'allim,Laymun,Jabal
حديقة,Hadiqa,Sukkar,Tamer,Qitar
شجرة,Shajara,Ta'ira,Jami'a,Laban
زهرة,Zahra,Asnan,Dajaj,Rasm
بحر,Bahr,Fan,Thalj,Sayyara
نهر,Nahr,Tamer,Imra'a,Dajaj
جبل,Jabal,Zahra,Sura,Tawila
سماء,Sama',Matar,Asnan,Sukkar
أرض,Ard,Qamar,Tawila,Filfil
خبز,Khubz,Dajaj,Sawt,Milh
ماء,Ma',Ta'ira,Wajh,Zahra
شمس,Shams,Filfil,Samak,Milh
قمر,Qamar,Bayt,Wajh,Thalj
نجمة,Najma,Lahm,Maktaba,Lisan
باب,Bab,Kitab,Lisan,Filfil
نافذة,Nafidha,Bateekh,Ghina',Qira'a
كرسي,Kursi,Shams,Burtuqal,Filfil
طاولة,Tawila,Rih,Daw',Barq
قلم,Qalam,Qira'a,Udhun,Anf
ورقة,Waraqa,Lueba,Jabal,Daw'
مكتب,Maktab,Sama',Kursi,Bayt
ساعة,Sa'a,Rih,Waraqa,Kursi
بيت,Bayt,Tuffah,Lahm,Sama'
شارع,Shari',Asnan,Lisan,Zaytun
طريق,Tariq,Hadiqa,Jami'a,Sawt
جسر,Jisr,Kura,Tifl,Sama'
قطار,Qitar,Maktaba,Musiqa,Sukkar
حافلة,Hafila,Sawt,Asnan,Lueba
مطار,Matar,Shajara,Shams,Tariq
مستشفى,Mustashfa,Matar,Raqs,Asifa
صيدلية,Saydaliya,Sukkar,Qalam,Kitaba
مدير,Mudir,Burtuqal,Ra's,Raqs
معلم,Mu'allim,Famm,Khukh,Kura
طالب,Talib,Samak,Raqs,Laban
طفل,Tifl,Ard,Ghina',Qahwa
رجل,Rajul,Tariq,Yad,Inab
امرأة,Imra'a,Bateekh,Lueba,Asnan
كتاب,Kitab,Nahr,Sha'r,Yad
قراءة,Qira'a,Makrona,Sawt,Asifa
كتابة,Kitaba,Inab,Asnan,Milh
رسم,Rasm,Bayt,Shajara,Mawz
صورة,Sura,Shay,Laymun,Qitar
فن,Fan,Khukh,Imra'a,Matar
موسيقى,Musiqa,Jibn,Tariq,Ain
لحن,Lahn,Najma,Fan,Asnan
غناء,Ghina',Saydaliya,Sa'a,Kitab
رقص,Raqs,Matar,Talib,Shams
لعبة,Lueba,Kura,Bateekh,Mudir
سباق,Sibaq,Anf,Asifa,Shari'
كرة,Kura,Laymun,Sukkar,Sibaq
قدم,Qadam,Musiqa,Khubz,Saydaliya
يد,Yad,Khubz,Bayd,Hadiqa
رأس,Ra's,Zayt,Zahra,Barq
عين,Ain,Maktab,Daw',Khubz
أذن,Udhun,Ra'd,Makrona,Sha'r
أنف,Anf,Khukh,Jisr,Makrona
فم,Famm,Ma',Najma,Laban
شعر,Sha'r,Raqs,Bahr,Qahwa
وجه,Wajh,Sibaq,Ra's,Zahra
أسنان,Asnan,Maktaba,Sha'r,Nahr
لسان,Lisan,Madrasa,Qamar,Shari'
صوت,Sawt,Shajara,Tifl,Thalj
ضوء,Daw',Shams,Kitab,Laymun
ظل,Dhil,Nafidha,Wajh,Thalj
مطر,Matar,Rih,Kursi,Sukkar
ثلج,Thalj,Dhil,Sayyara,Rih
ريح,Rih,Bab,Zahra,Sha'r
عاصفة,Asifa,Dajaj,Ra's,Qahwa
رعد,Ra'd,Nahr,Kitab,Inab
برق,Barq,Nahr,Rajul,Sibaq
زيت,Zayt,Lahm,Tuffah,Kitab
سكر,Sukkar,Sawt,Burtuqal,Kursi
ملح,Milh,Ard,Mustashfa,Laban
فلفل,Filfil,Nahr,Rajul,Ta'ira
ليمون,Laymun,Qamar,Lahm,Qira'a
برتقال,Burtuqal,Yad,Madina,Kitab
تفاح,Tuffah,Ain,Qalam,Sayyara
موز,Mawz,Tawila,Sa'a,Kura
عنب,Inab,Samak,Lahm,Tuffah
بطيخ,Bateekh,Shay,Bayt,Ra's
خوخ,Khukh,Mu'allim,Khubz,Jibn
تمر,Tamer,Jisr,Daw',Tariq
زيتون,Zaytun,Asnan,Zahra,Tuffah
بيض,Bayd,Lueba,Jisr,Shajara
لحم,Lahm,Fan,Asnan,Bab
دجاج,Dajaj,Samak,Waraqa,Zahra
سمك,Samak,Thalj,Lahm,Zahra
لبن,Laban,Matar,Tuffah,Kitab
جبن,Jibn,Lahm,Qalam,Madrasa
خبز,Khubz,Sawt,Tifl,Jisr
رز,Ruz,Tamer,Zaytun,Mudir
مكرونة,Makrona,Udhun,Waraqa,Sawt
شاي,Shay,Asifa,Zayt,Rih
قهوة,Qahwa,Bab,Nafidha,Sibaq
